name,Total Token,Cost,Total Chat Duration
"
Laya",1658,0.003316,10.547101020812988
"
Laya",2256,0.0045119999999999995,14.626087427139282
"
Tarek",2245,0.00449,13.555419921875
"
Laya",1061,0.002122,14.107607364654541
"
Tarek",1132,0.0022640000000000004,5.987083435058594
Laya,0,0,0
Tarek,1054,0.002108,6.231285095214844
"
lele",559,0.001118,2.7938601970672607
Tarek,1673,0.003346,13.953482389450073
Tarek,3658,0.007316,27.052926540374756
Tarek,5192,0.010384,35.1560492515564
Tarek,6054,0.012107999999999999,44.75897216796875
"
tarek",515,0.0010299999999999999,1.7831978797912598
"
tarek",0,0,0
,0,0,0
,0,0,0
"
tarek",0,0,0
,0,0,0
"
Laya",0,0,0
"
Laya",534,0.0010680000000000002,41.469412326812744
"
Laya",524,0.001048,5.540022611618042
Laya,512,0.001024,2.4591877460479736
Laya,1640,0.00328,10.168678045272827
,0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",515,0.0010299999999999999,2.469095230102539
"
Tarek",1062,0.002124,5.337723970413208
,0,0,0
,0,0,0
,0,0,0
,0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
,0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
,0,0,0
Laya,0,0,0
Laya,0,0,0
Laya,0,0,0
Laya,0,0,0
,0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",0,0,0
"
Tarek",517,0.001034,1.9805681705474854
,0,0,0
Laya,0,0,0
"
Tarek",1066,0.002132,4.886103630065918
Laya,0,0,0
Laya,0,0,0
Laya,0,0,0
"
Tarek",1662,0.0033240000000000006,9.316490411758423
Laya,512,0.001024,1.5812194347381592
Laya,1057,0.002114,5.051034450531006
"
Tarek",2285,0.00457,11.693604707717896
Laya,1638,0.0032760000000000003,8.522103309631348
Laya,2213,0.004426,56.64754796028137
"
Tarek",2928,0.005856,13.542533159255981
Laya,2855,0.00571,62.04737949371338
"
Tarek",3602,0.007204,16.549459218978882
Laya,3554,0.007108,67.05962085723877
Laya,4295,0.00859,70.59302091598511
Laya,5076,0.010152000000000001,74.18815732002258
,0,0,0
Ali,0,0,0
Ali,0,0,0
,0,0,0
Ali,0,0,0
"
Laya",0,0,0
"
Laya",0,0,0
Ali,0,0,0
"
Laya",0,0,0
"
Laya",0,0,0
Ali,511,0.001022,1.84092378616333
"
Laya",516,0.001032,1.681532859802246
Ali,1049,0.002098,4.309427261352539
"
Laya",1062,0.002124,4.37694239616394
Ali,1625,0.0032500000000000003,7.673624277114868
"
Laya",1639,0.003278,7.758138418197632
Ali,2259,0.004518,12.787795543670654
"
Laya",2248,0.004496,10.414773941040039
,0,0,0
"
넂",0,0,0
"
넂",0,0,0
"
넂",0,0,0
"
넂",0,0,0
"
넂",0,0,0
"
넂",527,0.001054,2.5903003215789795
"
넂",1125,0.0022500000000000003,9.637058973312378
"
넂",1693,0.003386,15.253854274749756
